time,event_type,lane_before,lane_after,obstacle_lane,score,streak,lives,details
4.5135283330018865,gate_spawn,1,1,0,0,0,8,
6.463052874998539,eog_right,1,2,,0,0,8,centered_signal=-2426.256;movement=lane_changed
6.914270499997656,gate_spawn,2,2,1,0,0,8,
7.361801040999126,eog_left,2,1,,0,0,8,centered_signal=2628.429;movement=lane_changed
7.504197333008051,gate_missed,1,1,0,0,0,7,
8.16693370800931,eog_right,1,2,,0,0,7,centered_signal=-2086.160;movement=lane_changed
9.31542925001122,gate_spawn,2,2,2,0,0,7,
9.882783000008203,gate_missed,2,2,1,0,0,6,
10.94270516600227,eog_right,2,2,,0,0,6,centered_signal=-2231.086;movement=blocked_at_edge
11.464340500009712,eog_left,2,1,,0,0,6,centered_signal=2543.131;movement=lane_changed
11.711651333011105,gate_spawn,1,1,0,0,0,6,
12.097567999997409,eog_left,1,0,,0,0,6,centered_signal=2082.100;movement=lane_changed
12.259238250000635,gate_missed,0,0,2,0,0,5,
14.102357166004367,gate_spawn,0,0,1,0,0,5,
14.235958666002261,eog_right,0,1,,0,0,5,centered_signal=-2382.349;movement=lane_changed
14.633071916003246,gate_missed,1,1,0,0,0,4,
14.963711582997348,eog_left,1,0,,0,0,4,centered_signal=2377.420;movement=lane_changed
16.504304500005674,gate_spawn,0,0,0,0,0,4,
16.734032541004126,eog_right,0,1,,0,0,4,centered_signal=-2169.518;movement=lane_changed
17.01294441599748,gate_passed,1,1,1,100,1,4,multiplier=1.0;points=100
18.71262495800329,eog_right,1,2,,100,1,4,centered_signal=-2123.572;movement=lane_changed
18.923697707999963,gate_spawn,2,2,2,100,1,4,
19.394391250010813,gate_missed,2,2,0,0,0,3,
19.650451082998188,eog_right,2,2,,0,0,3,centered_signal=-2323.807;movement=blocked_at_edge
21.313674832999823,gate_spawn,2,2,1,0,0,3,
21.781235166010447,gate_passed,2,2,2,100,1,3,multiplier=1.0;points=100
23.025779583011172,eog_right,2,2,,100,1,3,centered_signal=-2623.431;movement=blocked_at_edge
23.719139499997254,gate_spawn,2,2,1,100,1,3,
24.069196625001496,eog_right,2,2,,100,1,3,centered_signal=-2191.071;movement=blocked_at_edge
24.171176125004422,gate_missed,2,2,1,0,0,2,
24.861000707998755,eog_left,2,1,,0,0,2,centered_signal=2262.740;movement=lane_changed
26.118401833009557,gate_spawn,1,1,1,0,0,2,
26.422379041003296,eog_left,1,0,,0,0,2,centered_signal=2138.975;movement=lane_changed
26.546355333004612,gate_missed,0,0,1,0,0,1,
27.516775291005615,eog_right,0,1,,0,0,1,centered_signal=-2482.727;movement=lane_changed
27.931660250003915,eog_left,1,0,,0,0,1,centered_signal=2267.289;movement=lane_changed
28.50236254101037,gate_spawn,0,0,1,0,0,1,
28.609442750006565,eog_right,0,1,,0,0,1,centered_signal=-2603.284;movement=lane_changed
28.930131000000983,gate_passed,1,1,1,100,1,1,multiplier=1.0;points=100
29.121775958003127,eog_left,1,0,,100,1,1,centered_signal=3505.981;movement=lane_changed
30.06732958300563,eog_right,0,1,,100,1,1,centered_signal=-2596.803;movement=lane_changed
30.6815442500083,eog_left,1,0,,100,1,1,centered_signal=2434.568;movement=lane_changed
30.910234125010902,gate_spawn,0,0,1,100,1,1,
31.29987237500609,gate_missed,0,0,1,0,0,0,
