time,event_type,lane_before,lane_after,obstacle_lane,score,streak,lives,details
0.3005955830012681,eog_right,1,2,,0,0,8,centered_signal=330.426;movement=lane_changed
4.509292250004364,gate_spawn,2,2,1,0,0,8,
6.914064957993105,gate_spawn,2,2,1,0,0,8,
8.140279083003406,gate_missed,2,2,1,0,0,7,
9.303390582994325,gate_spawn,2,2,2,0,0,7,
10.525954291995731,gate_missed,2,2,1,0,0,6,
11.71545870800037,gate_spawn,2,2,1,0,0,6,
12.884471666999161,gate_passed,2,2,2,100,1,6,multiplier=1.0;points=100
14.100358083000174,gate_spawn,2,2,1,100,1,6,
15.28225575000397,gate_missed,2,2,1,0,0,5,
