time,event_type,lane_before,lane_after,obstacle_lane,score,streak,lives,details
1.5423091660049977,eog_left,1,0,,0,0,8,centered_signal=2825.161;movement=lane_changed
4.397665124997729,eog_left,0,0,,0,0,8,centered_signal=3054.622;movement=blocked_at_edge
4.501295708003454,gate_spawn,0,0,1,0,0,8,
5.503042208001716,eog_right,0,1,,0,0,8,centered_signal=-2856.115;movement=lane_changed
6.063374083008966,eog_left,1,0,,0,0,8,centered_signal=4496.447;movement=lane_changed
6.751547291001771,eog_right,0,1,,0,0,8,centered_signal=-2811.494;movement=lane_changed
6.91763270800584,gate_spawn,1,1,0,0,0,8,
7.273674374999246,eog_left,1,0,,0,0,8,centered_signal=3108.090;movement=lane_changed
7.476720624996233,gate_missed,0,0,1,0,0,7,
8.773081791005097,eog_left,0,0,,0,0,7,centered_signal=2905.618;movement=blocked_at_edge
9.306079583009705,gate_spawn,0,0,0,0,0,7,
9.876795707998099,gate_passed,0,0,0,100,1,7,multiplier=1.0;points=100
11.127415374998236,eog_left,0,0,,100,1,7,centered_signal=2806.102;movement=blocked_at_edge
11.706016541007557,gate_spawn,0,0,1,100,1,7,
12.06724704100634,eog_left,0,0,,100,1,7,centered_signal=2890.051;movement=blocked_at_edge
12.247798458003672,gate_passed,0,0,0,200,2,7,multiplier=1.0;points=100
12.52266800000507,eog_right,0,1,,200,2,7,centered_signal=-3719.036;movement=lane_changed
13.161282415996538,eog_right,1,2,,200,2,7,centered_signal=-2815.946;movement=lane_changed
14.10363304099883,gate_spawn,2,2,1,200,2,7,
14.626197958001285,gate_missed,2,2,1,100,0,6,
16.510942416003672,gate_spawn,2,2,2,100,0,6,
16.64935583299666,eog_left,2,1,,100,0,6,centered_signal=2918.385;movement=lane_changed
17.003659708003397,gate_passed,1,1,1,200,1,6,multiplier=1.0;points=100
17.68980183301028,eog_right,1,2,,200,1,6,centered_signal=-2871.809;movement=lane_changed
18.908915125008207,gate_spawn,2,2,2,200,1,6,
19.39598100000876,gate_passed,2,2,2,300,2,6,multiplier=1.0;points=100
21.310430416007875,gate_spawn,2,2,1,300,2,6,
21.547484458002145,eog_left,2,1,,300,2,6,centered_signal=3149.528;movement=lane_changed
21.777874874998815,gate_missed,1,1,2,200,0,5,
23.707903791000717,gate_spawn,1,1,2,200,0,5,
24.164940083006513,gate_passed,1,1,1,300,1,5,multiplier=1.0;points=100
24.669784500001697,eog_right,1,2,,300,1,5,centered_signal=-2915.998;movement=lane_changed
26.101999541002442,gate_spawn,2,2,2,300,1,5,
26.16846225000336,eog_left,2,1,,300,1,5,centered_signal=2954.362;movement=lane_changed
26.547096541005885,gate_missed,1,1,2,200,0,4,
27.275411416005227,eog_right,1,2,,200,0,4,centered_signal=-3859.854;movement=lane_changed
27.89958850000403,eog_left,2,1,,200,0,4,centered_signal=2832.042;movement=lane_changed
28.509662583004683,gate_spawn,1,1,0,200,0,4,
28.889323791008792,eog_left,1,0,,200,0,4,centered_signal=2823.329;movement=lane_changed
28.906780750010512,gate_missed,0,0,2,100,0,3,
30.903433125000447,gate_spawn,0,0,1,100,0,3,
31.30135920800967,gate_passed,0,0,0,200,1,3,multiplier=1.0;points=100
32.117295666001155,eog_right,0,1,,200,1,3,centered_signal=-2817.127;movement=lane_changed
33.313171250003506,gate_spawn,1,1,2,200,1,3,
33.67381712500355,gate_passed,1,1,1,300,2,3,multiplier=1.0;points=100
34.04504770800122,eog_right,1,2,,300,2,3,centered_signal=-3136.429;movement=lane_changed
34.606651833004435,eog_left,2,1,,300,2,3,centered_signal=3655.332;movement=lane_changed
35.23497104100534,eog_right,1,2,,300,2,3,centered_signal=-2855.650;movement=lane_changed
35.711752041010186,gate_spawn,2,2,2,300,2,3,
36.06578312499914,eog_left,2,1,,300,2,3,centered_signal=2956.858;movement=lane_changed
36.07586195800104,gate_missed,1,1,2,200,0,2,
37.10765062501014,eog_right,1,2,,200,0,2,centered_signal=-2901.465;movement=lane_changed
38.10100441600662,gate_spawn,2,2,2,200,0,2,
38.461441874998854,gate_passed,2,2,2,300,1,2,multiplier=1.0;points=100
40.50143291600398,gate_spawn,2,2,1,300,1,2,
40.821497208002256,gate_passed,2,2,2,400,2,2,multiplier=1.0;points=100
42.90058695799962,gate_spawn,2,2,2,400,2,2,
43.20113837500685,gate_missed,2,2,1,300,0,1,
43.722971791008604,eog_left,2,1,,300,0,1,centered_signal=2922.458;movement=lane_changed
44.5036432909983,eog_right,1,2,,300,0,1,centered_signal=-2974.013;movement=lane_changed
45.318312666000566,gate_spawn,2,2,2,300,0,1,
45.583748666002066,gate_passed,2,2,2,400,1,1,multiplier=1.0;points=100
47.713840791009716,gate_spawn,2,2,1,400,1,1,
47.99410870800784,gate_passed,2,2,2,500,2,1,multiplier=1.0;points=100
48.56769287500356,eog_left,2,1,,500,2,1,centered_signal=3174.799;movement=lane_changed
50.10143579100259,gate_spawn,1,1,2,500,2,1,
50.36201750001055,gate_passed,1,1,1,650,3,1,multiplier=1.5;points=150
50.54545520800457,eog_left,1,0,,650,3,1,centered_signal=2829.145;movement=lane_changed
51.44085712500964,eog_right,0,1,,650,3,1,centered_signal=-3275.525;movement=lane_changed
51.95195324999804,eog_left,1,0,,650,3,1,centered_signal=5198.883;movement=lane_changed
52.507787750000716,gate_spawn,0,0,1,650,3,1,
52.73455370799638,gate_missed,0,0,2,550,0,0,
