time,event_type,lane_before,lane_after,obstacle_lane,score,streak,lives,details
4.507217416990898,gate_spawn,1,1,0,0,0,8,
6.902724749990739,gate_spawn,1,1,0,0,0,8,
7.104070499990485,eog_left,1,0,,0,0,8,centered_signal=2783.063;movement=lane_changed
7.490047125000274,gate_passed,0,0,0,100,1,8,multiplier=1.0;points=100
7.573972416998004,eog_right,0,1,,100,1,8,centered_signal=-2625.807;movement=lane_changed
8.052033250001841,eog_left,1,0,,100,1,8,centered_signal=2292.259;movement=lane_changed
8.87541437499749,eog_right,0,1,,100,1,8,centered_signal=-3157.979;movement=lane_changed
9.31928058298945,gate_spawn,1,1,1,100,1,8,
9.823355291999178,eog_right,1,2,,100,1,8,centered_signal=-2543.188;movement=lane_changed
9.875121457997011,gate_missed,2,2,0,0,0,7,
10.554447916991194,eog_left,2,1,,0,0,7,centered_signal=2330.581;movement=lane_changed
11.711067791999085,gate_spawn,1,1,0,0,0,7,
12.257843207989936,gate_passed,1,1,1,100,1,7,multiplier=1.0;points=100
12.74024458299391,eog_left,1,0,,100,1,7,centered_signal=2320.414;movement=lane_changed
13.980294833003427,eog_right,0,1,,100,1,7,centered_signal=-3095.631;movement=lane_changed
14.118251958003384,gate_spawn,1,1,0,100,1,7,
14.396008666997659,eog_left,1,0,,100,1,7,centered_signal=2624.753;movement=lane_changed
14.648471749998862,gate_passed,0,0,0,200,2,7,multiplier=1.0;points=100
15.71176533299149,eog_right,0,1,,200,2,7,centered_signal=-2601.687;movement=lane_changed
16.179383082999266,eog_left,1,0,,200,2,7,centered_signal=2806.856;movement=lane_changed
16.51742462499533,gate_spawn,0,0,0,200,2,7,
16.94700266700238,eog_right,0,1,,200,2,7,centered_signal=-2524.389;movement=lane_changed
17.035701624990907,gate_missed,1,1,0,100,0,6,
17.887046292002196,eog_left,1,0,,100,0,6,centered_signal=2966.838;movement=lane_changed
18.626918791997014,eog_right,0,1,,100,0,6,centered_signal=-2998.458;movement=lane_changed
18.91157362499507,gate_spawn,1,1,1,100,0,6,
19.253101291993516,eog_left,1,0,,100,0,6,centered_signal=2304.704;movement=lane_changed
19.401875582989305,gate_passed,0,0,0,200,1,6,multiplier=1.0;points=100
20.960418332993868,eog_left,0,0,,200,1,6,centered_signal=2719.251;movement=blocked_at_edge
21.31086545799917,gate_spawn,0,0,1,200,1,6,
21.636015166994184,eog_right,0,1,,200,1,6,centered_signal=-2412.536;movement=lane_changed
21.780609749999712,gate_passed,1,1,1,300,2,6,multiplier=1.0;points=100
23.71345112498966,gate_spawn,1,1,2,300,2,6,
24.158966957998928,gate_passed,1,1,1,450,3,6,multiplier=1.5;points=150
24.928103999991436,eog_right,1,2,,450,3,6,centered_signal=-3141.710;movement=lane_changed
25.54115304199513,eog_left,2,1,,450,3,6,centered_signal=2349.770;movement=lane_changed
26.107864999998128,gate_spawn,1,1,1,450,3,6,
26.229996750000282,eog_right,1,2,,450,3,6,centered_signal=-2532.964;movement=lane_changed
26.547305375002907,gate_passed,2,2,2,600,4,6,multiplier=1.5;points=150
27.10460508299002,eog_left,2,1,,600,4,6,centered_signal=2968.636;movement=lane_changed
27.939480874993023,eog_right,1,2,,600,4,6,centered_signal=-2309.595;movement=lane_changed
28.50641824999184,gate_spawn,2,2,1,600,4,6,
28.82292070800031,eog_left,2,1,,600,4,6,centered_signal=2507.479;movement=lane_changed
28.924214124999708,gate_passed,1,1,1,750,5,6,multiplier=1.5;points=150
30.905373332992895,gate_spawn,1,1,0,750,5,6,
31.296789500003797,gate_passed,1,1,1,950,6,6,multiplier=2.0;points=200
31.960576832992956,eog_left,1,0,,950,6,6,centered_signal=2297.804;movement=lane_changed
33.31213529199886,gate_spawn,0,0,1,950,6,6,
33.68139341699134,gate_passed,0,0,0,1150,7,6,multiplier=2.0;points=200
34.72142345800239,eog_right,0,1,,1150,7,6,centered_signal=-2645.772;movement=lane_changed
35.71930554199207,gate_spawn,1,1,1,1150,7,6,
36.074111916997936,gate_passed,1,1,1,1350,8,6,multiplier=2.0;points=200
38.10497720800049,gate_spawn,1,1,1,1350,8,6,
38.45405829200172,gate_passed,1,1,1,1550,9,6,multiplier=2.0;points=200
40.50859295799455,gate_spawn,1,1,0,1550,9,6,
40.82142529200064,gate_passed,1,1,1,1750,10,6,multiplier=2.0;points=200
42.9156098329986,gate_spawn,1,1,1,1750,10,6,
43.225285833003,gate_missed,1,1,0,1650,0,5,
43.4682957920013,eog_left,1,0,,1650,0,5,centered_signal=2823.826;movement=lane_changed
43.88564429199323,eog_right,0,1,,1650,0,5,centered_signal=-2396.427;movement=lane_changed
44.97138487499615,eog_left,1,0,,1650,0,5,centered_signal=3008.298;movement=lane_changed
45.30192633299157,gate_spawn,0,0,0,1650,0,5,
45.44821770799172,eog_left,0,0,,1650,0,5,centered_signal=2781.944;movement=blocked_at_edge
45.61020062500029,gate_missed,0,0,1,1550,0,4,
45.853141749990755,eog_left,0,0,,1550,0,4,centered_signal=2518.262;movement=blocked_at_edge
47.71614908298943,gate_spawn,0,0,1,1550,0,4,
47.98020304199599,gate_passed,0,0,0,1650,1,4,multiplier=1.0;points=100
48.47183995800151,eog_right,0,1,,1650,1,4,centered_signal=-2304.854;movement=lane_changed
48.991005624993704,eog_left,1,0,,1650,1,4,centered_signal=3917.254;movement=lane_changed
49.553560041997116,eog_right,0,1,,1650,1,4,centered_signal=-2550.687;movement=lane_changed
50.07410016699578,eog_left,1,0,,1650,1,4,centered_signal=3485.872;movement=lane_changed
50.111413124992396,gate_spawn,0,0,1,1650,1,4,
50.38024470799428,gate_missed,0,0,1,1550,0,3,
51.42904233299487,eog_right,0,1,,1550,0,3,centered_signal=-2426.581;movement=lane_changed
51.90868804199272,eog_left,1,0,,1550,0,3,centered_signal=2817.480;movement=lane_changed
52.46889104199363,eog_right,0,1,,1550,0,3,centered_signal=-2997.313;movement=lane_changed
52.51157849999436,gate_spawn,1,1,2,1550,0,3,
52.76096400000097,gate_passed,1,1,1,1650,1,3,multiplier=1.0;points=100
53.407164999996894,eog_right,1,2,,1650,1,3,centered_signal=-2967.687;movement=lane_changed
54.19720354198944,eog_left,2,1,,1650,1,3,centered_signal=2665.996;movement=lane_changed
54.70983562499168,eog_right,1,2,,1650,1,3,centered_signal=-3402.101;movement=lane_changed
54.91582962499524,gate_spawn,2,2,2,1650,1,3,
55.14404512499459,gate_passed,2,2,2,1750,2,3,multiplier=1.0;points=100
55.188400083003216,eog_left,2,1,,1750,2,3,centered_signal=3487.094;movement=lane_changed
55.96837754199805,eog_right,1,2,,1750,2,3,centered_signal=-2451.652;movement=lane_changed
56.54492420799215,eog_left,2,1,,1750,2,3,centered_signal=3032.185;movement=lane_changed
57.25971462499001,eog_right,1,2,,1750,2,3,centered_signal=-2449.062;movement=lane_changed
57.3094742079993,gate_spawn,2,2,2,1750,2,3,
57.51704641699325,gate_passed,2,2,2,1900,3,3,multiplier=1.5;points=150
57.83560870800284,eog_left,2,1,,1900,3,3,centered_signal=3256.837;movement=lane_changed
58.51134645799175,eog_right,1,2,,1900,3,3,centered_signal=-3314.897;movement=lane_changed
59.03184149999288,eog_left,2,1,,1900,3,3,centered_signal=3096.104;movement=lane_changed
59.55429749999894,eog_right,1,2,,1900,3,3,centered_signal=-3001.652;movement=lane_changed
59.71600704199227,gate_spawn,2,2,1,1900,3,3,
59.90526391699677,gate_passed,2,2,2,2050,4,3,multiplier=1.5;points=150
59.98106562499015,eog_left,2,1,,2050,4,3,centered_signal=2954.581;movement=lane_changed
