time,sample,raw,baseline,highpass,filtered,centered,detected_event,detector_state,current_lane,score,streak,lives,filter_type,baseline_alpha,smoothing_alpha,moving_average_window,threshold_multiplier,refractory_ms
0.003615624998928979,1,33442,33101.55587665113,340.44412334886874,644.6249152569699,952.5596244327501,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.04717149998759851,2,32946,33100.77809726788,-154.7780972678811,484.7443127519997,792.6790219277799,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.05803712499618996,3,32767,33099.10920678154,-332.1092067815407,321.3736088452917,629.308318021072,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.0992319169890834,4,32846,33097.84366074764,-251.84366074763966,206.73015492670547,514.6648641024857,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.10881012499157805,5,32926,33096.9844424439,-170.98444244389975,131.18723545258445,439.12194462836464,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.1496647089952603,6,32271,33092.85452023168,-821.8545202316818,-59.42111568426877,248.51359349151141,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.16398191699408926,7,32112,33087.95024763052,-975.9502476305206,-242.7269420735191,65.2077671022611,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.20094212499679998,8,32767,33086.345496392365,-319.345496392365,-258.0506529372883,49.884056238491894,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.21157849999144673,9,32072,33081.2737689104,-1009.2737689104033,-408.29527613191124,-100.36056695613104,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.2535864169913111,10,32688,33079.30740006585,-391.30740006585256,-404.8977009186995,-96.96299174291931,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.2640504589944612,11,33224,33080.03086306553,143.96913693447277,-295.1243333480651,12.81037582771512,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.30591929198999424,12,32707,33078.1657087502,-371.1657087502026,-310.33260842849256,-2.3978992527123637,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.31578183399687987,13,32707,33076.309880206456,-369.309880206456,-322.1280627840853,-14.193353608305074,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.35834058398904745,14,32549,33073.673330805424,-524.6733308054245,-362.6371163883531,-54.70240721257289,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.3682529169891495,15,32688,33071.7449641514,-383.7449641514031,-366.8586859409631,-58.923976765182886,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.40865754199330695,16,32310,33067.93623933065,-757.936239330651,-445.07419661890066,-137.13948744312046,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.4213950839912286,17,32866,33066.926558134,-200.92655813400052,-396.24466892192066,-88.30995974614046,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.4612787919904804,18,32469,33063.93692534333,-594.9369253433324,-435.983120206203,-128.0484110304228,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.47299341698817443,19,32072,33058.97724071662,-986.9772407166165,-546.1819443082857,-238.24723513250547,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.514152624993585,20,33244,33059.90235451303,184.09764548696694,-400.12602634923513,-92.19131717345493,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.5238516249955865,21,33402,33061.61284274047,340.3871572595308,-252.023389627482,55.911319548298195,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.566511166995042,22,33184,33062.22477852677,121.7752214732318,-177.26366740733926,130.67104176844094,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.5756518749985844,23,33184,33062.83365463413,121.16634536586935,-117.57766485269755,190.35704432308265,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.6178967919986462,24,33462,33064.829486360955,397.17051363904466,-14.628029154349122,293.3066800214311,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.6271301669912646,25,33641,33067.71033892915,573.2896610708485,102.95550889069038,410.8902180664706,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.6694412090000696,26,32688,33065.81178723451,-377.8117872345101,6.802049665650301,314.7367588414305,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.6813842499977909,27,32707,33064.01772829834,-357.01772829834226,-65.9619059271482,241.972803248632,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.7216142089891946,28,33542,33066.40763965685,475.5923603431511,42.34894732691164,350.2836565026918,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.7333471249876311,29,34038,33071.26560145857,966.7343985414336,227.226037569816,535.1607467455962,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.7758584589901147,30,34574,33078.77927345128,1495.2207265487232,480.82497536559737,788.7596845413775,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.7843517089931993,31,34971,33088.240377084025,1882.7596229159753,761.2119048756729,1069.146614051453,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.8244915839895839,32,34336,33094.479175198605,1241.520824801395,857.2736888608173,1165.2083980365974,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.8360610419913428,33,34197,33099.99177932261,1097.0082206773877,905.2205952241313,1213.1553043999115,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.8775914999860106,34,33899,33103.986820426,795.0131795740017,883.1791120941054,1191.1138212698856,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.8881312089943094,35,34058,33108.75688632387,949.2431136761297,896.3919124105104,1204.3266215862905,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.9306027089915005,36,33859,33112.50810189225,746.4918981077499,866.4119095499582,1174.3466187257384,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.9413327499933075,37,33641,33115.15056138279,525.8494386172097,798.2994153634085,1106.2341245391885,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.9820286249887431,38,33085,33114.99980857588,-29.999808575877978,632.6395705755513,940.5742797513315,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
0.9933724999864353,39,33184,33115.344809532995,68.65519046700501,519.8426945538421,827.7774037296223,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
1.0346759589883732,40,33244,33115.98808548533,128.0119145146673,441.47653854600713,749.4112477217873,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
1.04501179199724,41,33184,33116.3281450579,67.67185494209843,366.71560182522546,674.6503110010057,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
1.086303208998288,42,32549,33113.49150433261,-564.4915043326109,180.47418059365822,488.4088897694384,,ready,1,0,0,8,EMA Smooth,0.995,0.8,8,1.0,350
